'Teste', 'Agente', 'Tipo','N maq', 'Tam Net','Max Prod', 'Media Prod','Var Prod','Max Rec',  'Media Rec', 'Var Rec','Max Wp1',  'Media Wp1', 'Var Wp1',\'Max Wp2',  'Media Wp2', 'Var Wp2','Var act1', 'Var ac2'
5,DDQN,SA,2,128,86.2250747680664,81.24709842468368,103.30228168853367,100.0,4.538680942705844,8.236237334066788,1.0,0.8943722365200519,2.1603586722640564e-05,0.9983100295066833,0.8985795819759369,8.669616104953944e-05,0.6241816622922922,0.28451141745469094
10,DDQN,SA,2,128,85.75909423828125,80.98384820193662,95.70346498897966,100.0,4.207537425578623,8.20379577060361,1.0,0.8898435061275959,4.861328049822876e-05,0.9980340600013733,0.8996193567216396,5.2359337588669094e-05,0.29743648915172605,0.5646177411044603
15,DDQN,SA,2,128,89.4365005493164,84.15861199439496,121.53341207821255,100.0,4.567360003312667,8.773542124289346,1.0,0.8316365078091621,0.00031979657631215513,0.998033344745636,0.9191749048531055,2.639227431872079e-05,0.4146852111175796,0.3554654456879507
20,DDQN,SA,2,128,33.345970153808594,32.558035519308675,4.3045425796750605,3.211812973022461,2.3686291490367313,21.69510113998266,1.0,0.9171925351619721,6.89307615805739e-05,0.9980350732803345,0.9235553056001663,7.502400170616675e-05,0.6661726447304991,0.34659622870028406
25,DDQN,SA,2,128,70.00596618652344,59.25053479344012,77.26335979269783,100.0,2.273785347559725,7.9549545633999745,1.0,0.838990290202883,0.002280537786673373,0.9983101487159729,0.9208100422024152,2.4523683094053404e-05,0.13483617361010306,0.43043692843663817
30,DDQN,SA,2,128,30.49933433532715,29.64454734063672,2.3097909611521192,3.073181390762329,2.2616001947554287,21.68762532152993,1.0,0.9160909589529037,5.9662709394824146e-05,0.9980319738388062,0.9236425143480301,8.587724533078179e-05,0.3875363046362365,0.6605790415177627
35,DDQN,SA,2,128,28.530927658081055,27.911991486768283,1.6668942374040345,2.9771392345428467,1.6510941328224307,22.22340624455842,1.0,0.9005759358406067,0.0001287534252198981,0.9980329275131226,0.9227605836391449,7.873232525667227e-05,0.4676953478272996,0.3419348926896706
40,DDQN,SA,2,128,31.765464782714844,30.484064671331776,2.7486734021878845,3.1204993724823,2.32168417586062,21.57736717902021,1.0,0.9183010594844818,7.08427240123087e-05,0.9980336427688599,0.9205746026039123,8.640786371522928e-05,0.6499177294114367,0.5328584348269528
45,DDQN,SA,2,128,28.761829376220703,27.71916637496796,5.8627710935637225,2.9929733276367188,2.0650995004468573,21.95500947141908,1.0,0.8857466698884964,0.0014911519953419699,0.9980332255363464,0.9230058089494705,8.02153816521515e-05,0.38685104840219753,0.3639905817108298
50,DDQN,SA,2,128,43.17506408691406,41.289619436283076,15.391681699354272,3.6208114624023438,2.4938873954697285,22.153261713143404,1.0,0.9135391850471497,6.542783951443515e-05,0.9980327486991882,0.9188887431621552,0.00010027169463831679,0.25793522734969176,0.26534555639220564
5,PPO,SA,2,128,29.00868034362793,28.702368679160845,1.8642202169893851,3.273773431777954,0.006031394115892683,20.624314407103494,1.0,0.9215072369575501,5.7634183414074866e-05,0.9980330467224121,0.3746153507828712,0.016530159620684305,0.0,0.0
10,PPO,SA,2,128,29.066436767578125,28.697764720269543,1.8399821786797317,3.0749764442443848,-0.004193990134416583,20.594649553731795,1.0,0.9219411252737045,5.4502963981333594e-05,0.9983118772506714,0.37507161873579026,0.01676748650816095,0.0,0.0
15,PPO,SA,2,128,90.96043395996094,87.81057787346637,72.79192201022668,100.0,4.464741383684331,8.94548482361954,1.0,0.7525484429597855,0.0007726565931284551,0.9983088374137878,0.9103583211302757,0.00016128441974085742,0.188433519372248,0.013797199351348809
20,PPO,SA,2,128,90.46012878417969,85.9063739056947,94.1197806093349,100.0,4.260632100357287,9.153224412821878,1.0,0.7745780295133591,0.001488274766338392,0.998033881187439,0.8913810741007328,0.0011312380887175755,0.07440507632240852,0.0
25,PPO,SA,2,128,91.04788208007812,87.89719863702868,70.70185994231589,100.0,4.3469606370761475,9.2717736707534,1.0,0.7493481618762017,0.0005019453941091077,0.9983088374137878,0.9115797103047371,0.0001141182252547054,0.09472225406537113,0.0
30,PPO,SA,2,128,29.000953674316406,28.66765734773434,1.8392160560402129,3.0653834342956543,0.04872447255480209,20.692198351769484,1.0,0.9209158511161805,5.8636230184962195e-05,0.9983096122741699,0.374329052567482,0.016613367218640873,0.0,0.0
35,PPO,SA,2,128,28.05069351196289,26.295249674372567,3.901695474218457,3.2959275245666504,0.3258748097259722,21.104653575393815,1.0,0.8522438102960587,0.0015421941119543089,0.9980334043502808,0.7000940850377083,0.031032354566217456,0.0,0.2472022023816638
40,PPO,SA,2,128,28.95745277404785,28.647710181519894,1.8266505325171316,3.19022274017334,0.038962314816116506,20.72602904401735,1.0,0.9212259502410889,5.330241000593538e-05,0.9980311393737793,0.3744591835737228,0.016755717839345846,0.0,0.0
45,PPO,SA,2,128,29.039257049560547,28.74541620913142,1.8398827253253744,3.112044334411621,0.007797836659043031,20.6559086887648,1.0,0.9238624700307846,5.1009938923116514e-05,0.9983102083206177,0.37561672645807265,0.016863789261604138,0.0,0.0
50,PPO,SA,2,128,29.18939781188965,28.857540695967074,1.8934813032787234,3.0854828357696533,0.08329519261968528,20.807601321075293,1.0,0.9218483501672745,5.290194163102732e-05,0.9980341196060181,0.37672125291824343,0.016689704989824423,0.0,0.0
5,DDQN,MA,2,32,30.79026222229004,29.539520551106648,2.2883745636842314,3.271728992462158,0.10554098758378072,20.71549980476829,1.0,0.9218518801927567,5.555471345691745e-05,0.9980340600013733,0.3831550834774971,0.01601173608101036,0.2421823020625416,0.0
10,DDQN,MA,2,32,80.90890502929688,77.70409501355508,71.15091351519524,100.0,2.9961090605670604,6.673517516973547,1.0,0.9124037285447121,7.870026526622633e-05,0.9983110427856445,0.8198023261725903,0.0002449002959941445,0.5468500132742224,0.15933912104417552
15,DDQN,MA,2,32,89.03594970703125,86.14552742501964,69.7062377163214,100.0,5.330608080612725,7.3508553801966166,1.0,0.8945506392121315,2.515369547465622e-05,0.9980328679084778,0.900939644753933,4.130264169076793e-05,0.398120779690115,0.09492854772014292
20,DDQN,MA,2,32,89.36444854736328,86.49164247155369,63.98153162428963,100.0,5.316029347058596,7.598628055996576,1.0,0.893866895198822,4.171960835706452e-05,0.9980319142341614,0.9007329436540603,4.338718684734845e-05,0.25494499127247966,0.09738209356091569
